Round,City,Country,Circuit_Name,Date,Time,Weather,Track_Length,Laps,Added_Laps,Turns,Finish_Position,Driver,Driver_Age,Driver_Number,Nationality,Team,Powertrain,Starting_Position,Best_Lap_Time,Race_Time,Gap,Points
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,9,Andre Lotterer,41,#36,German,Avalanche Andretti Formula E,Porsche 99X Electric Gen3,15,1:10:514,48:01:130,+ 0:15:563,2
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,10,Mitch Evans,29,#9,New Zealander,Jaguar TCS Racing,Jaguar I-Type 6,6,1:10:708,48:03:481,+ 0:17:914,1
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,11,Stoffel Vandoorne,31,#1,Belgian,DS Penske,DS E-TENSE FE23,17,1:10:759,48:11:874,+ 0:26:307,0
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,12,Norman Nato,30,#17,French,Nissan Formula E Team,Nissan e-4ORCE 04,16,1:10:418,48:12:637,+ 0:27:070,0
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,13,Lucas Di Grassi,38,#11,Brazilian,Mahindra Racing,Mahindra M9Electro,7,1:11:099,48:14:366,+ 0:28:799,0
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,14,Dan Ticktum,24,#33,British,NIO 333 Racing,NIO 333 ER9,4,1:11:387,48:22:885,+ 0:37:318,0
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,15,Sergio Sette Camara,25,#3,Brazilian,NIO 333 Racing,NIO 333 ER9,14,1:11:203,48:30:601,+ 0:45:034,0
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,16,Kelvin Van Der Linde,27,#4,South African,ABT Cupra Formula E Team,Mahindra M9Electro,19,1:11:344,48:45:702,+ 1:00:135,0
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,17,Sacha Fenestraz,23,#23,French,Nissan Formula E Team,Nissan e-4ORCE 04,18,1:11:014,48:55:114,+ 1:09:547,0
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,18,Antonio Felix Da Costa,31,#13,Spanish,Tag Heuer Porsche Formula E Team,Porsche 99X Electric Gen3,13,1:10:922,48:22:025,+ ,0
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,19,Oliver Rowland,30,#8,British,Mahindra Racing,Mahindra M9Electro,8,1:11:418,48:38:092,+ ,0
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,20,Edoardo Mortara,36,#48,Swiss,Maserati MSG Racing,Maserati Tipo Folgore,20,1:11:364,DNF,+,0
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,21,Maximilian Gunther,25,#7,German,Maserati MSG Racing,Maserati Tipo Folgore,DNS,DNS,DNS,+,0
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,22,Nico Mueller,31,#51,Swiss,ABT Cupra Formula E Team,Mahindra M9Electro,21,1:12:350,DNF,+,0
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,1,Pascal Wehrlein,28,#94,German,Tag Heuer Porsche Formula E Team,Porsche 99X Electric Gen3,5,1:09:409,50:40:304,0,25
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,2,Jake Dennis,28,#27,British,Avalanche Andretti Formula E,Porsche 99X Electric Gen3,6,1:09:114,50:41:556,+ 0:01:252,18
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,3,Rene Rast,36,#58,German,NEOM McLaren Formula E Team,Nissan e-4ORCE 04,3,1:09:584,50:44:858,+ 0:04:554,15
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,4,Sam Bird,36,#10,British,Jaguar TCS Racing,Jaguar I-Type 6,9,1:09:010,50:45:155,+ 0:04:851,13
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,5,Jake Hughes,29,#5,British,NEOM McLaren Formula E Team,Nissan e-4ORCE 04,1,1:09:846,50:51:173,+ 0:10:869,13
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,6,Sebastian Buemi,34,#16,Swiss,Envision Racing,Jaguar I-Type 6,4,1:09:876,50:51:251,+ 0:10:947,8
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,7,Mitch Evans,29,#9,New Zealander,Jaguar TCS Racing,Jaguar I-Type 6,2,1:09:817,50:51:392,+ 0:11:088,6
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,8,Sacha Fenestraz,23,#23,French,Nissan Formula E Team,Nissan e-4ORCE 04,12,1:09:631,50:52:713,+ 0:12:409,4
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,9,Edoardo Mortara,36,#48,Swiss,Maserati MSG Racing,Maserati Tipo Folgore,7,1:10:022,50:53:057,+ 0:12:753,2
